key,description,attached to,status,suggested key
natural-science.physics.technology.chaos-theory,Study of chaotic behavior in dynamic systems.,Mathematics|0,valid,
natural-science.physics.technology.complex-systems,Study of complex systems and emergent behavior.,Scientific thinking|1,valid,
natural-science.physics.technology.conceptual-systems,Study of conceptual system models and structures.,Scientific thinking|1,valid,
natural-science.physics.technology.control-theory,Study of control theory and system stability.,Mathematics|1,valid,
natural-science.physics.technology.control-theory.affect-control-theory,Study of affect control theory and social interaction models.,Psychology|1,valid,
natural-science.physics.technology.control-theory.control-engineering,Study of engineering control systems.,Physics|0,valid,
natural-science.physics.technology.control-theory.control-systems,Study of control systems design and analysis.,Physics|0,valid,
natural-science.physics.technology.control-theory.perceptual-control-theory,Study of perceptual control theory and behavior models.,Psychology|1,valid,
natural-science.physics.technology.cybernetics,Study of control and communication in systems.,Scientific thinking|1,valid,
natural-science.physics.technology.cybernetics.biocybernetics,Study of cybernetic models of biological systems.,Biology|1,valid,
natural-science.physics.technology.cybernetics.engineering-cybernetics,Study of cybernetics applied to engineering systems.,Physics|0,valid,
natural-science.physics.technology.cybernetics.management-cybernetics,Study of cybernetic approaches to management systems.,Economics|1,valid,
natural-science.physics.technology.cybernetics.medical-cybernetics,Study of cybernetic systems in medicine.,Biology|1,valid,
natural-science.physics.technology.cybernetics.new-cybernetics,Study of second generation cybernetics concepts.,Scientific thinking|1,valid,
natural-science.physics.technology.cybernetics.second-order-cybernetics,Study of cybernetics of observing systems.,Scientific thinking|1,valid,
natural-science.physics.technology.network-science,Study of networks and complex connectivity.,Mathematics|1,valid,
natural-science.physics.technology.systems-biology,Study of biological systems using systems theory.,Biology|0,valid,
natural-science.physics.technology.systems-biology.computational-systems-biology,Study of computational models of biological systems.,Biology|1,valid,
natural-science.physics.technology.systems-biology.synthetic-biology,Study of designing and building biological systems.,Biology|1,valid,
natural-science.physics.technology.systems-biology.systems-immunology,Study of immune system dynamics using systems methods.,Biology|1,valid,
natural-science.physics.technology.systems-biology.systems-neuroscience,Study of neural systems using systems approaches.,Biology|1,valid,
natural-science.physics.technology.system-dynamics,Study of dynamic behavior of complex systems.,Mathematics|1,valid,
natural-science.physics.technology.system-dynamics.social-dynamics,Study of social dynamics using system models.,Sociology|1,valid,
natural-science.physics.technology.systems-ecology,Study of ecosystems using systems theory.,Biology|1,valid,
natural-science.physics.technology.systems-ecology.ecosystem-ecology,Study of ecosystem structure and function.,Biology|1,valid,
natural-science.physics.technology.systems-engineering,Study of engineering complex system life cycles.,Physics|0,valid,
natural-science.physics.technology.systems-engineering.biological-systems-engineering,Study of engineering biological systems and processes.,Biology|0,valid,
natural-science.physics.technology.systems-engineering.earth-systems-engineering-and-management,Study of engineering and managing Earth systems.,Earth science|1,valid,
natural-science.physics.technology.systems-engineering.enterprise-systems-engineering,Study of engineering enterprise systems and processes.,Economics|1,valid,
natural-science.physics.technology.systems-psychology,Study of psychological aspects of systems and organizations.,Psychology|1,valid,
natural-science.physics.technology.systems-psychology.ergonomics,Study of human factors and system design.,Psychology|1;Biology|0,valid,
natural-science.physics.technology.systems-psychology.family-systems-theory,Study of family behavior as a systems model.,Psychology|1,valid,
natural-science.physics.technology.systems-psychology.systemic-therapy,Study of therapeutic approaches based on systems theory.,Psychology|1,valid,
natural-science.physics.technology.systems-theory,Study of systems concepts across disciplines.,Scientific thinking|1,valid,
natural-science.physics.technology.systems-theory.biochemical-systems-theory,Study of biochemical networks using systems theory.,Biology|1,valid,
natural-science.physics.technology.systems-theory.ecological-systems-theory,Study of ecological systems using systems theory.,Biology|1,valid,
natural-science.physics.technology.systems-theory.developmental-systems-theory,Study of development as a complex systems process.,Biology|1,valid,
natural-science.physics.technology.systems-theory.general-systems-theory,Study of general principles of systems across domains.,Scientific thinking|1,valid,
natural-science.physics.technology.systems-theory.living-systems-theory,Study of living systems as organized processes.,Biology|1,valid,
natural-science.physics.technology.systems-theory.lti-system-theory,Study of linear time invariant systems.,Mathematics|1,valid,
natural-science.physics.technology.systems-theory.mathematical-system-theory,Study of system theory using mathematical models.,Mathematics|1,valid,
natural-science.physics.technology.systems-theory.sociotechnical-systems-theory,Study of interactions between social and technical systems.,Sociology|1,valid,
natural-science.physics.technology.systems-theory.world-systems-theory,Study of global systems and economic relationships.,Economics|1,valid,
natural-science.physics.technology.systems-theory-in-anthropology,Study of systems theory applied to anthropology.,Cultural studies|1,valid,
natural-science.physics.technology.transportation,Study of transportation systems and mobility.,Physics|0,valid,
natural-science.physics.technology.transportation.highway-safety,Study of safety in highway systems and traffic.,Physics|0,valid,
natural-science.physics.technology.transportation.infographics,Study of visual communication of information.,Communication|1,valid,
natural-science.physics.technology.transportation.intermodal-transportation-studies,Study of integrated transportation modes and logistics.,Physics|0,valid,
natural-science.physics.technology.transportation.logistics,"Study of planning, coordination, and optimization of transport and supply flows.",,valid,
natural-science.physics.technology.transportation.marine-transportation,Study of transportation by sea and maritime systems.,Physics|0,valid,
natural-science.physics.technology.transportation.marine-transportation.port-management,Study of port operations and maritime logistics.,Economics|1,valid,
natural-science.physics.technology.transportation.marine-transportation.seafaring,Study of navigation and seafaring practices.,Physics|0,valid,
natural-science.physics.technology.transportation.mass-transit,Study of public transportation systems and planning.,Physics|0,valid,
natural-science.physics.technology.transportation.travel,Study of travel patterns and mobility behavior.,Sociology|1,valid,
natural-science.physics.technology.transportation.vehicles,Study of vehicle systems and design.,Physics|0,valid,
natural-science.physics.astronomy,Study of celestial objects and the universe.,Physics|1,valid,
natural-science.physics.astronomy.aerospace-engineering,Study of engineering for aircraft and spacecraft.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.aerospace-architecture,Study of design of structures for aerospace environments.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.aerospace-physiology,Study of human physiology in aerospace environments.,Biology|1,valid,
natural-science.physics.astronomy.aerospace-engineering.aerospace-manufacturing,Study of manufacturing processes for aerospace systems.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics,Study of spaceflight and spacecraft systems.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-architecture,Study of architecture for space habitats.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-colonization,Study of concepts for human settlement in space.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-commercialization,Study of commercial activities in space.,Economics|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-commercialization.space-based-economy,Study of economic systems based on space resources.,Economics|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-commercialization.space-industry,Study of industrial activities in space.,Economics|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-commercialization.space-manufacturing,Study of manufacturing processes in space.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-commercialization.space-tourism,Study of commercial human travel to space.,Economics|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-environment,Study of environmental conditions in space.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-logistics,Study of logistics for space missions and supplies.,Economics|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-food,Study of food systems for space missions.,Biology|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-medicine,Study of medical issues in spaceflight.,Biology|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-medicine.neuroscience-in-space,Study of neural effects of space environments.,Biology|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-religion,Study of religious practice and belief in space contexts.,Religious studies|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-sex,Study of human sexuality and reproduction in space.,Biology|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-survival,Study of survival systems and practices in space.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-warfare,Study of conflict and defense in space environments.,Political science|1,valid,
natural-science.physics.astronomy.aerospace-engineering.astronautics.space-writing,Study of writing and documentation in space contexts.,Communication|1,valid,
natural-science.physics.astronomy.aerospace-engineering.aeronautics,Study of flight within Earth's atmosphere.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.human-spaceflight,Study of human spaceflight operations and systems.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.robotic-spacecraft,Study of robotic spacecraft design and operation.,Physics|0,valid,
natural-science.physics.astronomy.aerospace-engineering.space-corrosion,Study of material corrosion in space environments.,Chemistry|1,valid,
natural-science.physics.astronomy.space-technology,Study of technologies for space exploration and use.,Physics|0,valid,
natural-science.physics.astronomy.space-technology.space-telescopes,Study of telescope systems deployed in space.,Physics|0,valid,
natural-science.physics.astronomy.space-technology.space-based-radar,Study of radar systems deployed in space.,Physics|0,valid,
natural-science.physics.astronomy.space-technology.space-based-solar-power,Study of solar power generation in space.,Physics|0,valid,
natural-science.physics.astronomy.space-technology.spacecraft-design,Study of spacecraft design and engineering.,Physics|0,valid,
natural-science.physics.astronomy.space-technology.spacecraft-propulsion,Study of propulsion systems for spacecraft.,Physics|0,valid,
natural-science.physics.astronomy.astrobiology,Study of life in the universe and potential habitats.,Biology|1,valid,
natural-science.physics.astronomy.astrobotany,Study of plant biology in extraterrestrial contexts.,Biology|1,valid,
natural-science.physics.astronomy.astrochemistry,Study of chemical processes in space.,Chemistry|1,valid,
natural-science.physics.astronomy.astrochemistry.theoretical-astronomy,Study of theoretical models in astronomy.,Physics|0,valid,
natural-science.physics.astronomy.cosmochemistry,Study of chemical composition of the universe.,Chemistry|1,valid,
natural-science.physics.astronomy.cosmology,Study of the origin and evolution of the universe.,Physics|0,valid,
natural-science.physics.astronomy.cosmology.physical-cosmology,Study of physical models of cosmology.,Physics|0,valid,
natural-science.physics.astronomy.space-archaeology,Study of archaeological aspects of space exploration.,History|1,valid,
natural-science.physics.astronomy.space-exploration,Study of exploring space and its environments.,Physics|0,valid,
natural-science.physics.astronomy.space-law,Study of legal frameworks governing space activities.,Law|1,valid,
natural-science.physics.astronomy.space-nuclear-power,Study of nuclear power systems for space use.,Physics|0,valid,
natural-science.physics.astronomy.archaeoastronomy,Study of ancient astronomical practices and observations.,History|1;Astronomy|1,valid,
natural-science.physics.astronomy.astrometry,Study of measuring positions and motions of celestial bodies.,Physics|0,valid,
natural-science.physics.astronomy.amateur-astronomy,Study and practice of astronomy by nonprofessionals.,Physics|0,valid,
natural-science.physics.astronomy.forensic-astronomy,Study of astronomical evidence in investigative contexts.,Physics|0,valid,
natural-science.physics.astronomy.extragalactic-astronomy,Study of objects beyond the Milky Way.,Physics|0,valid,
natural-science.physics.astronomy.galactic-astronomy,Study of the Milky Way and its structure.,Physics|0,valid,
natural-science.physics.astronomy.high-energy-astronomy,Study of high energy phenomena in the universe.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy,Study of the universe through observations and instruments.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.radio-astronomy,Study of celestial objects using radio waves.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.microwave-astronomy,Study of the universe in microwave wavelengths.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.submillimetre-astronomy,Study of the universe in submillimeter wavelengths.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.infrared-astronomy,Study of celestial objects using infrared light.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.optical-astronomy,Study of the universe using visible light.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.uv-astronomy,Study of celestial objects using ultraviolet light.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.x-ray-astronomy,Study of celestial objects using X-ray radiation.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.gamma-ray-astronomy,Study of celestial objects using gamma rays.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.cosmic-ray-astronomy,Study of cosmic rays and high energy particles.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.neutrino-astronomy,Study of astronomical sources via neutrino detection.,Physics|0,valid,
natural-science.physics.astronomy.observational-astronomy.gravitational-wave-astronomy,Study of the universe using gravitational waves.,Physics|0,valid,
natural-science.physics.astronomy.photometry,Study of measuring brightness of celestial objects.,Physics|0,valid,
natural-science.physics.astronomy.spectroscopy,Study of spectra to determine composition and motion.,Physics|0,valid,
natural-science.physics.astronomy.stellar-astronomy,Study of stars and their properties.,Physics|0,valid,
natural-science.physics.astronomy.stellar-astronomy.solar-astronomy,Study of the Sun and solar phenomena.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics,Study of physical processes in astronomical objects.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.compact-objects,Study of compact objects like neutron stars.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.computational-astrophysics,Study of astrophysical systems using computation.,Mathematics|1,valid,
natural-science.physics.astronomy.astrophysics.gravitational-astronomy,Study of gravity driven astronomical phenomena.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.gravitational-astronomy.black-holes,Study of black holes and their physics.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.interstellar-medium,Study of gas and dust between stars.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.numerical-simulations,Study of astrophysical systems using simulations.,Mathematics|1,valid,
natural-science.physics.astronomy.astrophysics.numerical-simulations.astrophysical-plasma,Study of plasma physics in astrophysical contexts.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.numerical-simulations.galaxy-formation-and-evolution,Study of galaxy formation and evolution.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.numerical-simulations.high-energy-astrophysics,Study of high energy astrophysical phenomena.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.numerical-simulations.magnetohydrodynamics,Study of magnetic fluids in astrophysical systems.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.numerical-simulations.star-formation,Study of processes forming stars from gas clouds.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.orbital-mechanics,Study of orbits and spacecraft trajectories.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.relativistic-astrophysics,Study of astrophysics in relativistic regimes.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.stellar-astrophysics,Study of physical processes in stars.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.stellar-astrophysics.helioseismology,Study of solar oscillations and internal structure.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.stellar-astrophysics.solar-physics,Study of physical processes in the Sun.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.stellar-astrophysics.stellar-evolution,Study of star life cycles and changes.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.stellar-astrophysics.stellar-nucleosynthesis,Study of element formation inside stars.,Physics|0,valid,
natural-science.physics.astronomy.astrophysics.space-plasma-physics,Study of plasma in space environments.,Physics|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science,Study of planets moons and planetary systems.,Astronomy|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.atmospheric-science,Study of planetary atmospheres and their dynamics.,Earth science|1,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.exoplanetology,Study of planets beyond the Solar System.,Astronomy|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.planetary-formation,Study of how planets form and evolve.,Astronomy|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.planetary-rings,Study of ring systems around planets.,Astronomy|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.magnetospheres,Study of planetary magnetic fields and magnetospheres.,Astronomy|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.planetary-geology,Study of geology of planetary bodies.,Earth science|1,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.planetary-surfaces,Study of surface processes on planetary bodies.,Astronomy|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-earth-science.small-solar-system-bodies,Study of asteroids comets and small bodies.,Astronomy|0,valid,
natural-science.physics.astronomy.dynamics.astrodynamics,Study of spacecraft motion and orbital dynamics.,Physics|0,valid,
natural-science.physics.astronomy.dynamics.stellar-dynamics,Study of motion and interactions of stars.,Physics|0,valid,
natural-science.physics.astronomy.mechanics.celestial-mechanics,Study of motion of celestial bodies.,Physics|0,valid,
natural-science.physics.astronomy.planetary-science-alternatively-a-part-of-space-science,Study of planets moons and planetary systems.,Astronomy|0,valid,
natural-science.chemistry,Study of matter its composition and chemical reactions.,Physics|1,valid,
natural-science.chemistry.chemical-physics,Study of chemistry using physical principles.,Physics|1,valid,
natural-science.chemistry.physical-chemistry,Study of physical principles in chemical systems.,Physics|1,valid,
natural-science.chemistry.agrochemistry,Study of chemical processes in agriculture.,Chemistry|0,valid,
natural-science.chemistry.analytical-chemistry,Study of chemical analysis and measurement.,Chemistry|0,valid,
natural-science.chemistry.atmospheric-chemistry,Study of chemical processes in the atmosphere.,Earth science|1,valid,
natural-science.chemistry.catalysts,Study of catalysts and catalytic mechanisms.,Chemistry|0,valid,
natural-science.chemistry.chemical-biology,Study of chemical approaches to biology.,Biology|1,valid,
natural-science.chemistry.chemical-engineering,Study of engineering processes based on chemistry.,Chemistry|0,valid,
natural-science.chemistry.cheminformatics,Study of chemical data using computational methods.,Information science|1,valid,
natural-science.chemistry.computational-chemistry,Study of chemistry using computational models.,Mathematics|1;Chemistry|1,valid,
natural-science.chemistry.electrochemistry,Study of chemical processes involving electricity.,Chemistry|0,valid,
natural-science.chemistry.environmental-chemistry,Study of chemical processes in the environment.,Earth science|1,valid,
natural-science.chemistry.femtochemistry,Study of chemical reactions on femtosecond timescales.,Chemistry|0,valid,
natural-science.chemistry.flow-chemistry,Study of chemical reactions in continuous flow.,Chemistry|0,valid,
natural-science.chemistry.forensic-chemistry,Study of chemistry applied to forensic investigations.,Chemistry|0,valid,
natural-science.chemistry.geochemistry,Study of chemical composition of Earth materials.,Earth science|1;Chemistry|1,valid,
natural-science.chemistry.green-chemistry,Study of environmentally friendly chemical processes.,Earth science|1,valid,
natural-science.chemistry.histochemistry,Study of chemical composition of tissues.,Biology|1,valid,
natural-science.chemistry.immunochemistry,Study of chemical aspects of immune processes.,Biology|1,valid,
natural-science.chemistry.inorganic-chemistry,Study of inorganic compounds and materials.,Chemistry|0,valid,
natural-science.chemistry.marine-chemistry,Study of chemical processes in oceans.,Earth science|1,valid,
natural-science.chemistry.mathematical-chemistry,Study of chemistry using mathematical methods.,Mathematics|1,valid,
natural-science.chemistry.mechanochemistry,Study of chemical reactions driven by mechanical force.,Chemistry|0,valid,
natural-science.chemistry.medicinal-chemistry,Study of chemical design of pharmaceuticals.,Biology|1,valid,
natural-science.chemistry.natural-product-chemistry,Study of chemical compounds from natural sources.,Biology|1,valid,
natural-science.chemistry.neurochemistry,Study of chemical processes in the nervous system.,Biology|1,valid,
natural-science.chemistry.nuclear-chemistry,Study of chemical aspects of nuclear processes.,Physics|1,valid,
natural-science.chemistry.organic-chemistry,Study of carbon-based compounds and reactions.,Chemistry|0,valid,
natural-science.chemistry.organometallic-chemistry,Study of compounds with metal-carbon bonds.,Chemistry|0,valid,
natural-science.chemistry.petrochemistry,Study of chemical processes related to petroleum.,Chemistry|0,valid,
natural-science.chemistry.pharmacology,Study of drug actions and interactions in organisms.,Biology|0,valid,
natural-science.chemistry.photochemistry,Study of chemical reactions induced by light.,Chemistry|0,valid,
natural-science.chemistry.physical-organic-chemistry,Study of physical principles in organic reactions.,Chemistry|0,valid,
natural-science.chemistry.phytochemistry,Study of chemicals in plants.,Biology|1,valid,
natural-science.chemistry.polymer-chemistry,Study of synthesis and properties of polymers.,Chemistry|0,valid,
natural-science.chemistry.quantum-chemistry,Study of chemical systems using quantum mechanics.,Physics|1,valid,
natural-science.chemistry.radiochemistry,Study of radioactive substances and reactions.,Physics|1,valid,
natural-science.chemistry.soil-chemistry,Study of chemical processes in soils.,Earth science|1,valid,
natural-science.chemistry.solid-state-chemistry,Study of chemistry of solid materials.,Chemistry|0,valid,
natural-science.chemistry.sonochemistry,Study of chemical effects of ultrasound.,Chemistry|0,valid,
natural-science.chemistry.supramolecular-chemistry,Study of chemical systems formed by noncovalent interactions.,Chemistry|0,valid,
natural-science.chemistry.surface-chemistry,Study of chemical processes at surfaces and interfaces.,Chemistry|0,valid,
natural-science.chemistry.synthetic-chemistry,Study of methods for synthesizing chemical compounds.,Chemistry|0,valid,
natural-science.chemistry.systems-chemistry,Study of complex chemical networks and systems.,Chemistry|0,valid,
natural-science.chemistry.theoretical-chemistry,Study of chemical theory and computational models.,Chemistry|0,valid,
natural-science.chemistry.thermochemistry,Study of heat changes in chemical reactions.,Chemistry|0,valid,
natural-science.biology,Study of living organisms and life processes.,Chemistry|1,valid,
natural-science.biology.molecular-biology,Study of biological processes at the molecular level.,Chemistry|1,valid,
natural-science.biology.ecology,Study of interactions between organisms and environments.,Biology|0,valid,
natural-science.biology.aerobiology,Study of airborne biological particles and processes.,Biology|0,valid,
natural-science.biology.anatomy,Study of structure of organisms.,Biology|0,valid,
natural-science.biology.anatomy.comparative-anatomy,Study of anatomical similarities across species.,Biology|0,valid,
natural-science.biology.anatomy.human-anatomy,Study of human body structure.,Biology|0,valid,
natural-science.biology.biochemistry,Study of chemical processes in living organisms.,Chemistry|1;Biology|1,valid,
natural-science.biology.bioinformatics,Study of biological data using computation.,Information science|1,valid,
natural-science.biology.biotechnology,Study of technological applications of biology.,Biology|0,valid,
natural-science.biology.botany,Study of plants and plant biology.,Biology|0,valid,
natural-science.biology.botany.ethnobotany,Study of plant use in cultural contexts.,Biology|0,valid,
natural-science.biology.botany.phycology,Study of algae and algal biology.,Biology|0,valid,
natural-science.biology.cell-biology,Study of cells and their structure and function.,Biology|0,valid,
natural-science.biology.chronobiology,Study of biological rhythms and timing.,Biology|0,valid,
natural-science.biology.cognitive-biology,Study of biological bases of cognition.,Biology|0,valid,
natural-science.biology.computational-biology,Study of biological systems using computational models.,Mathematics|1,valid,
natural-science.biology.conservation-biology,Study of biodiversity conservation and protection.,Biology|0,valid,
natural-science.biology.cryobiology,Study of low temperature effects on living systems.,Biology|0,valid,
natural-science.biology.developmental-biology,Study of growth and development of organisms.,Biology|0,valid,
natural-science.biology.developmental-biology.embryology,Study of embryos and early development.,Biology|0,valid,
natural-science.biology.developmental-biology.teratology,Study of developmental abnormalities and malformations.,Biology|0,valid,
natural-science.biology.ecology.agroecology,Study of ecological processes in agricultural systems.,Biology|0,valid,
natural-science.biology.ecology.ethnoecology,Study of ecological knowledge in cultural contexts.,Biology|0,valid,
natural-science.biology.endocrinology,Study of hormones and endocrine systems.,Biology|0,valid,
natural-science.biology.epigenetics,Study of heritable changes in gene expression.,Biology|0,valid,
natural-science.biology.ethnobiology,Study of human interactions with living organisms.,Biology|0,valid,
natural-science.biology.ethnobiology.anthrozoology,Study of human animal relationships.,Biology|0,valid,
natural-science.biology.evolutionary-biology,Study of evolutionary processes in living organisms.,Biology|0,valid,
natural-science.biology.evolution,Study of evolutionary change and adaptation.,Biology|0,valid,
natural-science.biology.evolution.systematics,Study of biological diversity and classification.,Biology|0,valid,
natural-science.biology.evolution.taxonomy,Study of naming and classifying organisms.,Biology|0,valid,
natural-science.biology.forensic-biology,Study of biology applied to forensic investigations.,Biology|0,valid,
natural-science.biology.genetics,Study of genes heredity and variation.,Biology|0,valid,
natural-science.biology.genetics.behavioural-genetics,Study of genetic influences on behavior.,Biology|0,valid,
natural-science.biology.genetics.molecular-genetics,Study of genes at the molecular level.,Biology|0,valid,
natural-science.biology.genetics.population-genetics,Study of genetic variation in populations.,Biology|0,valid,
natural-science.biology.geobiology,Study of interactions between Earth systems and life.,Biology|0;Earth science|0,valid,
natural-science.biology.histology,Study of tissues and microscopic anatomy.,Biology|0,valid,
natural-science.biology.human-biology,Study of human biology and physiology.,Biology|0,valid,
natural-science.biology.immunology,Study of immune systems and responses.,Biology|0,valid,
natural-science.biology.limnology,Study of inland waters and freshwater ecosystems.,Biology|0;Earth science|1,valid,
natural-science.biology.linnaean-taxonomy,Study of Linnaean classification of organisms.,Biology|0,valid,
natural-science.biology.marine-biology,Study of marine organisms and ecosystems.,Biology|0,valid,
natural-science.biology.mathematical-biology,Study of biological systems using mathematics.,Mathematics|1,valid,
natural-science.biology.microbiology,Study of microorganisms and microbial processes.,Biology|0,valid,
natural-science.biology.microbiology.bacteriology,Study of bacteria and bacterial processes.,Biology|0,valid,
natural-science.biology.microbiology.protistology,Study of protists and protist biology.,Biology|0,valid,
natural-science.biology.mycology,Study of fungi and fungal biology.,Biology|0,valid,
natural-science.biology.neuroscience,Study of the nervous system and brain.,Biology|0,valid,
natural-science.biology.neuroscience.behavioral-neuroscience,Study of neural bases of behavior.,Biology|0,valid,
natural-science.biology.neuroscience.computational-neuroscience,Study of computational models of neural systems.,Mathematics|1,valid,
natural-science.biology.paleobiology,Study of ancient life and fossils.,Biology|0,valid,
natural-science.biology.parasitology,Study of parasites and host interactions.,Biology|0,valid,
natural-science.biology.pathology,Study of disease processes and tissue changes.,Biology|0,valid,
natural-science.biology.pathology.anatomical-pathology,Study of disease through tissue and organ examination.,Biology|0,valid,
natural-science.biology.pathology.clinical-pathology,Study of disease through laboratory diagnostics.,Biology|0,valid,
natural-science.biology.pathology.dermatopathology,Study of skin disease through pathological analysis.,Biology|0,valid,
natural-science.biology.pathology.forensic-pathology,Study of pathology in legal investigations.,Biology|0,valid,
natural-science.biology.pathology.hematopathology,Study of diseases of blood and lymphatic systems.,Biology|0,valid,
natural-science.biology.pathology.histopathology,Study of disease at the tissue level.,Biology|0,valid,
natural-science.biology.pathology.molecular-pathology,Study of disease mechanisms at the molecular level.,Biology|0,valid,
natural-science.biology.pathology.surgical-pathology,Study of tissue removed during surgery for diagnosis.,Biology|0,valid,
natural-science.biology.pathology.phytopathology,Study of plant diseases.,Biology|0,valid,
natural-science.biology.physiology,Study of functions of living organisms.,Biology|0,valid,
natural-science.biology.physiology.human-physiology,Study of human body functions.,Biology|0,valid,
natural-science.biology.physiology.human-physiology.exercise-physiology,Study of physiological responses to exercise.,Biology|0,valid,
natural-science.biology.structural-biology,Study of molecular structures of biological macromolecules.,Biology|0,valid,
natural-science.biology.systematics-taxonomy,Study of classification and relationships among organisms.,Biology|0,valid,
natural-science.biology.population-biology,Study of population dynamics in biological systems.,Biology|0,valid,
natural-science.biology.quantum-biology,Study of quantum effects in biological systems.,Physics|1,valid,
natural-science.biology.sociobiology,Study of social behavior in biological context.,Biology|0,valid,
natural-science.biology.theoretical-biology,Study of biological systems using theoretical models.,Biology|0,valid,
natural-science.biology.toxicology,Study of toxic substances and their effects.,Biology|0,valid,
natural-science.biology.virology,Study of viruses and viral diseases.,Biology|0,valid,
natural-science.biology.virology.molecular-virology,Study of viruses at the molecular level.,Biology|0,valid,
natural-science.biology.xenobiology,Study of artificial or nonstandard biological systems.,Biology|0,valid,
natural-science.biology.zoology,Study of animals and animal biology.,Biology|0,valid,
natural-science.biology.zoology.animal-communications,Study of communication systems in animals.,Biology|0,valid,
natural-science.biology.zoology.apiology,Study of bees and bee biology.,Biology|0,valid,
natural-science.biology.zoology.arachnology,Study of arachnids such as spiders and scorpions.,Biology|0,valid,
natural-science.biology.zoology.arthropodology,Study of arthropods and their biology.,Biology|0,valid,
natural-science.biology.zoology.batrachology,Study of amphibians and their biology.,Biology|0,valid,
natural-science.biology.zoology.bryozoology,Study of bryozoans and their biology.,Biology|0,valid,
natural-science.biology.zoology.carcinology,Study of crustaceans and their biology.,Biology|0,valid,
natural-science.biology.zoology.cetology,Study of whales dolphins and porpoises.,Biology|0,valid,
natural-science.biology.zoology.cnidariology,Study of cnidarians such as jellyfish and corals.,Biology|0,valid,
